No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr),nyr,yrb,yre,elev(m),CT,CN,River_Name
129,13889,118.25,5.75,10800.0,16.285,3.8,1981,1985,-9999.0,MY,AS,Kinabatangan
23,13818,-58.25,-33.75,249312.0,166.907,57.3,1965,2006,1.2,AR,SA,Uruguay
91,13600,-80.75,51.75,61100.0,23.795,45.3,1959,2005,29.0,CA,,Moose
170,13378,-44.25,-2.75,50800.0,7.455,42.6,1968,2006,15.0,BR,SA,Itapecuru
139,13333,71.75,66.25,48000.0,14.42,38.1,1955,2005,-9999.0,RU,AS,Nadym
118,13333,-72.75,-41.75,8620.0,20.97,43.4,1943,1986,-9999.0,CL,SA,Puelo
41,13286,111.75,2.75,34053.0,70.27199999999999,31.5,1962,1994,-9999.0,MY,AS,Rajang
193,13200,-110.25,27.75,57908.0,2.478,4.0,1976,1979,480.0,MX,,Yaqui
188,13143,122.25,40.75,120764.0,3.512,56.8,1938,2000,-9999.0,CN,AS,Liao
133,12941,-93.16,17.98,9000.0,4.546,3.0,1976,1978,-9999.0,MX,,Rompido
123,12857,-88.25,31.75,39847.1,21.223000000000003,78.2,1928,2006,17.1,US,,Tombigbee
89,12857,-91.75,31.25,174824.0,27.662,78.0,1928,2006,13.5,US,,Red
132,12778,-47.75,-1.75,38178.0,18.375999999999998,33.7,1971,2006,-9999.0,BR,SA,Capim
159,12727,37.75,45.25,48100.0,11.837,86.8,1911,1998,5.0,RU,EU,Kuban
73,12703,-56.25,-5.25,40400.0,37.088,2.5,1986,1992,-9999.0,BR,SA,Jamanxim
96,12593,-66.25,45.25,39900.0,35.739000000000004,76.6,1918,1995,6.0,CA,,Saint
28,12568,9.75,-0.75,203500.0,147.964,42.0,1930,1975,9.0,GA,AF,Ogoou\xe9
50,12545,-51.75,-29.75,71454.0,54.998999999999995,58.4,1972,2006,-9999.0,BR,SA,Jacui
128,12500,43.75,66.25,56400.0,20.219,84.4,1920,2006,19.0,RU,EU,Mezen
1,12462,-51.75,-0.75,4618750.0,5389.536999999999,79.0,1928,2006,37.0,BR,SA,Amazon
87,12414,-130.25,54.25,42200.0,28.535999999999998,72.8,1928,2006,100.0,CA,,Skeena
12,12315,-55.25,-2.75,387378.0,337.80300000000005,24.0,1973,1998,-9999.0,BR,SA,Tapajos
157,12308,113.75,73.25,78800.0,14.449000000000002,48.1,1954,2005,-9999.0,RU,AS,Anabar
177,12295,42.75,0.75,179520.0,6.086,25.8,1951,1979,-9999.0,SO,AF,Juba
121,12273,9.25,53.75,123532.0,21.423000000000002,102.0,1900,2001,17.0,DE,EU,Elbe
98,12222,-78.75,51.75,40900.0,26.529,37.5,1963,2001,211.0,CA,,Rupert
20,12217,113.25,22.25,329705.0,219.66400000000002,45.7,1915,1986,-9999.0,CN,AS,Xijiang
48,12167,86.25,20.25,132090.0,59.434,6.0,1965,1970,-9999.0,IN,AS,Mahanadi
8,11933,-57.75,-34.75,2346000.0,476.584,101.3,1905,2006,4.0,AR,SA,Parana
35,11919,160.75,68.75,526000.0,97.08,74.3,1927,2004,-9999.0,RU,AS,Kolyma
141,11875,24.25,56.75,70350.0,15.75,58.8,1906,1985,75.0,LV,EU,Daugava
102,11852,-78.25,1.75,18800.0,31.726,9.5,1973,1991,40.0,EC,SA,Esmeraldas
84,11818,-79.25,51.25,57500.0,32.542,22.0,1960,1982,243.0,CA,,Nottaway
140,11765,14.25,53.75,109729.0,16.724,100.2,1900,2000,3.0,PL,EU,Odra
119,11739,113.75,22.75,25325.0,23.412,34.3,1953,1987,7.0,CN,AS,Dongjiang
92,11724,100.25,13.75,118816.0,23.273000000000003,86.5,1912,2000,-9999.0,TH,AS,Chao
38,11685,68.25,24.75,975000.0,88.525,63.8,1936,2000,13.0,PK,AS,Indus
161,11667,33.75,-24.75,342000.0,11.677,3.2,1976,1979,23.0,MZ,AF,Limpopo
113,11600,-130.25,54.75,19200.0,24.484,66.4,1929,2006,65.0,CA,,Nass
66,11522,-70.75,48.25,73000.0,45.981,80.3,1913,1993,100.0,CA,,Saguenay
3,11474,-61.75,9.25,836000.0,980.0880000000001,75.8,1923,1999,-9999.0,VE,SA,Orinoco
62,11458,11.75,45.25,70091.0,47.746,80.3,1918,1998,8.0,IT,EU,Po
6,11381,-90.25,29.75,2896021.0,537.319,79.0,1928,2006,14.1,US,,Mississippi
100,11379,162.75,56.25,51600.0,29.165,47.3,1937,1985,7.0,RU,AS,Kamchatka
101,11379,-68.25,49.25,45800.0,32.097,46.7,1946,1994,37.0,CA,,Manicouagan
17,11346,140.25,51.75,1730000.0,305.944,99.9,1900,1999,13.0,RU,AS,Amur
180,11333,-3.75,5.25,66500.0,5.776,41.8,1953,1994,120.0,CI,AF,Como\xe9
78,11282,73.25,21.75,89345.0,38.381,26.0,1949,1979,-9999.0,IN,AS,Narmada
143,11176,-76.99,55.23,36300.0,16.634,37.1,1961,2001,-9999.0,CA,,GR
36,11143,35.75,-18.25,940000.0,105.311,4.0,1976,1979,117.0,MZ,AF,Zambeze
110,11111,-73.75,-47.75,23736.0,27.443,21.8,1963,1984,105.0,CL,SA,Baker
18,11103,-52.25,-2.25,446388.0,273.437,26.4,1971,1998,-9999.0,BR,SA,Xingu
172,11059,139.25,-35.25,991000.0,8.517999999999999,69.9,1930,2000,48.6,VX,AU,Murray
136,11053,46.25,31.75,274100.0,19.149,18.0,1923,1972,28.0,IQ,AM,Euphrates
168,11000,30.25,46.25,66100.0,9.868,56.9,1900,1985,2.0,MD,EU,Dnestr
75,10952,113.75,22.75,38363.0,42.126000000000005,34.7,1953,1987,-9999.0,CN,AS,Beijiang
85,10882,0.25,5.75,394100.0,33.918,47.3,1936,1984,5.0,GH,AF,Volta
185,10870,-129.25,69.75,56300.0,4.619,30.4,1969,2006,-9999.0,CA,,Anderson
125,10833,-41.75,-3.25,282000.0,24.037,43.3,1963,2006,20.0,BR,SA,Parnaiba
184,10833,-7.25,37.25,60883.0,4.874,43.9,1946,1990,30.0,PT,EU,Guadiana
64,10800,149.75,71.25,305000.0,50.437,62.3,1936,1998,3.0,RU,AS,Indigirka
117,10769,-2.25,47.25,110000.0,27.553,100.0,1900,1999,9.0,FR,EU,Loire
115,10741,-62.75,-40.75,95000.0,26.924,66.8,1927,1994,32.0,AR,SA,Negro-AR
154,10625,-95.75,67.25,93900.0,14.913,40.1,1965,2006,27.0,CA,,Back
97,10625,122.25,72.75,198000.0,34.446,49.0,1951,1999,-9999.0,RU,AS,Olenek
179,10597,-95.25,29.25,116568.0,6.704,87.5,1903,2006,8.5,US,,Brazos
58,10577,80.25,16.25,251355.0,51.809,74.0,1901,1979,-9999.0,IN,AS,Krishna
14,10576,88.25,24.25,951600.0,379.67900000000003,48.0,1949,1996,-9999.0,IN,AS,Ganges
37,10566,40.25,64.75,348000.0,104.4,105.7,1900,2006,2.0,RU,EU,Severnaya
190,10488,-38.75,-12.75,53866.0,4.06,56.1,1964,2006,50.0,BR,SA,Paraguacu
72,10444,116.75,36.75,734146.0,44.924,52.3,1934,2000,-9999.0,CN,AS,Huanghe
24,10443,-164.25,62.75,831386.0,227.46400000000003,50.0,1956,2006,6.1,AK,,Yukon
126,10417,48.25,30.75,60769.0,23.436999999999998,66.4,1900,1985,20.0,IR,AS,Karun
7,10381,83.25,70.75,2440000.0,583.768,69.3,1936,2006,2.0,RU,AS,Yenisey
13,10378,69.25,66.75,2430000.0,396.085,76.0,1930,2006,0.0,RU,AS,Ob
4,10374,120.75,32.25,1705383.0,905.1410000000001,99.6,1900,2000,19.0,CN,AS,Changjiang
31,10370,53.25,67.75,312000.0,137.846,73.8,1916,2000,-9999.0,RU,EU,Pechora
