m2s_ratio lonm latm area(km2) Vol(km3/yr) nyr yrb yre elev(m) CT CN River_Name OCN
10000 -72.61 41.99 25019.0 15.025 72.4 1928 2000 11.7 US NA Connecticut ATL
10000 -46.32 -1.80 31064.0 14.984 26.8 1972 1999 -9999.0 BR SA Gurupi ATL
10000 141.53 43.12 12697.0 14.910 47.0 1954 2000 -9999.0 JP AS Ishikari PAC
10000 -66.18 50.35 19000.0 13.189 34.8 1965 2000 17.0 CA NA Moisie ATL
10000 -47.84 -24.49 20855.0 14.480 46.3 1953 1999 10.0 BR SA Ribeira do
10000 171.70 -41.83 6350.0 14.394 9.8 1964 1984 25.0 NZ PO Buller PAC
10000 10.12 3.57 26400.0 14.084 25.8 1951 1977 35.0 CM AF Nyong ATL
10000 120.33 28.15 13560.0 14.063 36.0 1951 1986 -9999.0 CN AS Oujiang PAC
10000 34.55 -21.15 100885.0 13.982 3.8 1976 1979 20.0 MZ AF Save (Sabi)
10000 -160.13 66.97 24657.0 13.566 25.6 1976 2003 10.7 AK NA Kobuk ARC
10000 46.85 -17.42 18550.0 13.832 32.6 1948 1982 -9999.0 MG AF Ikopa IND
10000 45.47 -19.52 14375.0 13.897 2.0 1981 1983 -9999.0 MG AF Mahajilo IND
10000 -84.40 11.02 28600.0 12.435 10.5 1969 1989 26.0 NI CA San Juan
10000 -94.87 17.43 9224.0 13.041 4.0 1976 1979 20.0 MX NA Coatzacoalcos ATL
10000 -61.59 50.19 16000.0 11.235 13.6 1962 1975 5.0 CA NA Natashquan ATL
10000 -21.00 63.94 5760.0 12.577 41.5 1950 1992 12.0 IS EU Hvita (Olfusa)
10000 -81.83 31.65 35224.0 12.491 67.0 1931 1998 7.5 US NA Altamaha ATL
10000 -73.69 42.75 20953.0 12.410 51.8 1946 1998 0.1 US NA Hudson ATL
10000 -68.40 49.15 18900.0 12.341 57.3 1922 1979 58.0 CA NA Outardes (R
10000 -133.70 58.54 17094.0 12.247 12.2 1987 1999 15.2 AK NA Taku PAC
10000 -72.97 -40.32 3714.0 12.231 35.6 1929 1966 -9999.0 CL SA Bueno PAC
10000 73.03 22.30 33670.0 12.073 11.0 1968 1979 -9999.0 IN AS Mahi IND
10000 -49.07 -26.92 11803.0 12.082 57.0 1939 1999 12.0 BR SA Itajai-Acu ATL
10000 13.08 -4.11 23385.0 11.966 15.0 1969 1983 105.0 CG AF Niari ATL
10000 17.27 63.17 30639.0 12.935 95.0 1909 2003 4.0 SE EU Angerman ATL
10000 -20.63 63.93 7200.0 11.470 44.6 1947 1993 44.0 IS EU Thjorsa ATL
10000 -88.70 13.43 18176.0 11.433 14.2 1965 1980 5.0 SV CA Lempa ATL
10000 111.83 -7.10 12804.0 11.507 9.0 1983 1991 -9999.0 ID AS Solo (Bengawan
10000 -162.94 67.57 31079.8 11.099 3.3 1965 1971 -9999.0 AK NA Noatak ARC
10000 140.07 38.75 6271.0 11.526 23.0 1959 2000 -9999.0 JP AS Mogami PAC
10000 -71.90 59.98 26900.0 10.925 20.9 1962 1983 30.0 CA NA Arnaud (Payne)
10000 -81.26 32.53 25511.0 10.779 67.3 1929 2000 4.1 US NA Savannah ATL
10000 -83.47 8.95 4767.0 10.496 14.7 1965 1979 13.0 CR CA Grande de
10000 -74.78 40.22 17560.0 10.477 86.0 1912 1998 0.0 US NA Delaware ATL
10000 34.15 -19.95 26314.0 10.516 1.8 1976 1977 35.0 MZ AF Buzi IND
10000 5.43 51.81 29000.0 10.295 74.0 1911 1984 8.0 NL EU Maas (Meuse)
10000 -77.13 38.95 29940.0 10.211 70.8 1930 2000 11.6 US NA Potomac ATL
10000 136.74 35.31 4956.0 8.811 19.9 1959 1997 -9999.0 JP AS Kiso PAC
10000 19.62 42.01 12368.0 10.049 4.0 1965 1968 19.0 AL EU Drini MED
10000 -52.05 -31.01 15543.0 9.994 30.8 1964 1996 24.0 BR SA Camaqua ATL
